condition,variant,spectral_radius,spectral_radius_sem,lambda2_ratio,lambda2_ratio_sem,bulk95_ratio,bulk95_ratio_sem,mean_ratio,mean_ratio_sem,participation_ratio,participation_ratio_sem,n_critical,n_critical_sem
undirected_empirical,erdos_renyi,162.80875992742853,1.4059280799917064,0.7836669283288096,0.007501242681081853,0.6120286402630286,0.004583808725019141,0.25423058591622655,0.0014804361633210515,189.7651986515697,0.4634269524482241,1.0,0.0
undirected_empirical,degree_rewire,212.80416138640834,3.008310353177974,0.6729694822570689,0.010182524678809764,0.4999312210535297,0.007563888920717143,0.18189427848011186,0.003084245769490153,165.37445570475558,1.2022241909297515,1.0,0.0
undirected_empirical,clustering_rewire,256.6886783134197,3.538161546663791,0.5724953117072752,0.01003145734655645,0.400293225037691,0.006238802436909947,0.15168165875433304,0.0024708246176106553,167.35008030828766,1.280866929953663,1.0,0.0
undirected_empirical,modularity_rewire,216.70978151488958,2.8974818205032435,0.6963096326850058,0.0077192168279541975,0.48826816590271116,0.006889722788601841,0.17829448623045857,0.0023848507288311786,164.97509612216172,0.956510893991684,1.0,0.0
directed_gaussian,connectome,4.2328001550389285,0.04816977087784467,0.9749849560318544,0.008723254989131056,0.8428185391918465,0.009505667089291518,0.4294436867265777,0.004097169201851794,223.8288189522795,1.0679083027339475,6.9,0.9741663102366043
directed_gaussian,connectome_weight_permuted,4.254892757026464,0.09162328341134962,0.9750737816908721,0.010542385523342671,0.857023744687653,0.01881708756940134,0.43012217923433677,0.009824603957522361,224.5615635148456,0.8015321103614098,9.8,2.2969545054266964
directed_gaussian,random_gaussian,3.711663598012424,0.04587215344742104,0.9794966983209763,0.008024378881875216,0.9121677761526843,0.010211325430989928,0.5926095048650657,0.007050929367085372,259.97112755056406,0.29441088009723876,21.7,4.216752304795718
directed_gaussian,erdos_renyi,3.642784417714508,0.03514467334712316,0.9840381283503893,0.0073021494364080555,0.9306576462773666,0.007192117728524825,0.6072094193178887,0.004990914200227451,260.5475517858515,0.3031439123234584,28.9,3.0674093303633274
directed_gaussian,degree_rewire,4.16349482973035,0.0325512393815603,0.9898326032228033,0.006674692889676966,0.8737245181679094,0.008982128051263224,0.4406582648347027,0.0042763330698530515,221.05428063283722,0.5817166340157988,11.7,1.5751190431202333
directed_gaussian,clustering_rewire,4.246322572245064,0.05585105148567085,0.9821876578683186,0.008504315726303906,0.8591624110275236,0.015872756614656165,0.42413015260436177,0.006785032863445071,214.89947995484118,0.8187304751498502,9.3,1.7207556479639985
