variant,spectral_radius,seed,curvature_rad,vpt
connectome_weight_permuted,0.4,6,0.25100884419974967,1.2239183999999999
connectome_weight_permuted,0.4,7,0.25456930301208813,1.0446096
connectome_weight_permuted,0.4,8,0.25079338623048647,1.2959136
connectome_weight_permuted,0.4,9,0.25383991525434263,1.1329056
connectome_weight_permuted,0.8,0,0.25329744860165493,1.5879695999999999
connectome_weight_permuted,0.8,1,0.2539804789014415,1.7469023999999997
connectome_weight_permuted,0.8,2,0.2553063431613823,1.8093888000000002
connectome_weight_permuted,0.8,3,0.25526424039158363,1.5662352
connectome_weight_permuted,0.8,4,0.25509142096426624,1.6504559999999997
connectome_weight_permuted,0.8,5,0.25527003285603733,1.3434575999999998
connectome_weight_permuted,0.8,6,0.252656549688412,1.6966416
connectome_weight_permuted,0.8,7,0.25491497950199793,1.6667567999999995
connectome_weight_permuted,0.8,8,0.251063223559139,1.6192127999999997
connectome_weight_permuted,0.8,9,0.2545558530834076,1.6545311999999996
connectome_weight_permuted,1.2,0,0.2549475249056399,1.3325904000000002
connectome_weight_permuted,1.2,1,0.2581324407856551,3.1365455999999994
connectome_weight_permuted,1.2,2,0.2593412114796715,1.5893279999999999
connectome_weight_permuted,1.2,3,0.2542787104132694,1.5526512
connectome_weight_permuted,1.2,4,0.25886187137276623,3.6975648
connectome_weight_permuted,1.2,5,0.2577726075460545,1.4670720000000002
connectome_weight_permuted,1.2,6,0.25371828610774627,1.5621599999999998
connectome_weight_permuted,1.2,7,0.25864899180395273,1.7333184
connectome_weight_permuted,1.2,8,0.2591438771546273,2.0457503999999997
connectome_weight_permuted,1.2,9,0.25866823589381704,3.9053999999999993
connectome_weight_permuted,1.6,0,0.25977301446471024,3.3633984
connectome_weight_permuted,1.6,1,0.2586608844401752,3.7206576
connectome_weight_permuted,1.6,2,0.2608504702121914,6.3926304
connectome_weight_permuted,1.6,3,0.26053238836754433,3.2886863999999996
connectome_weight_permuted,1.6,4,0.2610539866613424,5.391489599999999
connectome_weight_permuted,1.6,5,0.2619422863509428,6.236414399999999
connectome_weight_permuted,1.6,6,0.2573820343883849,4.378123199999999
connectome_weight_permuted,1.6,7,0.26128615710478925,1.249728
connectome_weight_permuted,1.6,8,0.25985387893679396,2.9626703999999995
connectome_weight_permuted,1.6,9,0.2616618160194412,3.6214944000000004
connectome_weight_permuted,2.0,0,0.2579503890204369,3.171864
connectome_weight_permuted,2.0,1,0.25867427007407784,4.0711248
